AERONET_Database_Site_List,Num=0,Date_Generated=17:07:2016,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Railroad_Valley,-115.962000,38.504000,1435.000000,1,1,1,1,1,1,1,0,0,0,0,0
Davos,9.843800,46.812917,1596.000000,1,1,1,1,1,1,1,0,0,0,0,0
Jabiru,132.893100,-12.660700,30.000000,1,1,1,1,1,1,0,0,0,0,0,0
Lake_Argyle,128.748500,-16.108100,150.000000,1,1,1,1,1,1,0,0,0,0,0,0
Munich_University,11.573000,48.148000,533.000000,1,1,1,1,1,1,1,0,0,0,0,0
Lecce_University,18.111389,40.335111,30.000000,1,1,1,1,1,1,0,0,0,0,0,0
Kuwait_University,47.971000,29.325000,42.000000,1,1,1,1,1,1,1,0,0,0,0,0
Yekaterinburg,59.545000,57.038333,300.000000,0,0,1,1,1,1,1,0,0,0,0,0
Tomsk,85.047000,56.477333,130.000000,0,0,1,1,0,0,0,0,0,0,0,0
Yakutsk,129.366667,61.661667,118.500000,0,0,1,1,1,1,1,0,0,0,0,0
ATHENS-NOA,23.775000,37.988000,130.000000,1,1,1,1,1,1,1,0,0,0,0,0
Taipei_CWB,121.500000,25.030000,26.000000,1,1,1,1,1,1,1,0,0,0,0,0
Chen-Kung_Univ,120.216667,23.000000,50.000000,1,1,1,1,1,1,0,0,0,0,0,0
Monterey,-121.854867,36.592550,50.000000,1,1,1,1,1,1,1,0,0,0,0,0
Belsk,20.791667,51.836667,190.000000,1,1,1,1,1,1,1,0,0,0,0,0
Toravere,26.460000,58.255000,70.000000,1,1,1,1,1,1,1,0,0,0,0,0
Andenes,16.008611,69.278333,379.000000,0,1,1,1,1,1,1,0,0,0,0,0
Halifax,-63.594000,44.638000,65.000000,1,1,1,1,1,1,1,0,0,0,0,0
Villefranche,7.328889,43.683889,130.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kuujjuarapik,-77.800000,55.300000,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
FORTH_CRETE,25.282417,35.332694,20.000000,1,1,1,1,1,1,1,0,0,0,0,0
Palencia,-4.515694,41.988572,750.000000,1,1,1,1,1,1,1,0,0,0,0,0
Canberra,149.111100,-35.271300,600.000000,1,1,1,1,1,1,0,0,0,0,0,0
Amsterdam_Island,77.573333,-37.810000,30.000000,1,1,1,1,1,1,1,0,0,0,0,0
Omkoi,98.431667,17.798333,1120.000000,1,1,1,1,1,1,1,0,0,0,0,0
Palgrunden,13.151500,58.755333,49.000000,0,0,0,0,1,1,1,0,0,0,0,0
Bac_Lieu,105.730000,9.280000,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Carpentras,5.058333,44.083333,100.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kellogg_LTER,-85.371717,42.407983,293.000000,0,0,0,0,1,1,1,0,0,0,0,0
Cabauw,4.927000,51.971000,-0.700000,1,1,1,1,0,1,1,0,0,0,0,0
Toulon,6.009444,43.135556,50.000000,1,1,1,1,1,1,1,0,0,0,0,0
Dunkerque,2.368117,51.035350,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
Irkutsk,103.086644,51.799797,670.000000,0,0,0,1,1,1,1,0,0,0,0,0
Evora,-7.911500,38.567833,293.000000,1,1,1,1,1,1,1,0,0,0,0,0
ETNA,15.019433,37.613500,736.000000,1,1,1,1,1,1,1,0,0,0,0,0
Sao_Martinho_SONDA,-53.823444,-29.443333,489.000000,1,1,1,1,1,1,1,0,0,0,0,0
Brasilia_SONDA,-47.713480,-15.601290,992.000000,1,1,1,1,1,1,1,0,0,0,0,0
Petrolina_SONDA,-40.500000,-9.383300,370.000000,1,1,1,1,1,1,1,0,0,0,0,0
Campo_Grande_SONDA,-54.538100,-20.438300,677.000000,1,0,1,1,1,1,1,0,0,0,0,0
Hyytiala,24.295892,61.846447,191.000000,0,0,0,1,1,1,1,0,0,0,0,0
MVCO,-70.550000,41.300000,10.000000,0,0,0,1,1,1,1,0,0,0,0,0
Laegeren,8.351389,47.480278,735.000000,1,1,1,1,1,1,1,0,0,0,0,0
Cabo_da_Roca,-9.500000,38.783333,140.000000,1,1,1,1,1,1,1,0,0,0,0,0
Messina,15.566833,38.197500,15.000000,1,1,1,1,1,1,1,0,0,0,0,0
Gwangju_GIST,126.843139,35.228278,52.000000,1,1,1,1,1,1,1,0,0,0,0,0
Thessaloniki,22.960000,40.630000,60.000000,1,1,0,1,1,1,1,0,0,0,0,0
Ames,-93.774778,42.021361,338.000000,1,0,0,0,1,1,1,0,0,0,0,0
IER_Cinzana,-5.933867,13.278433,285.000000,1,1,1,1,1,1,1,0,0,0,0,0
Granada,-3.605000,37.164000,680.000000,1,1,1,1,1,1,1,0,0,0,0,0
Mezaira,53.778611,23.145000,204.000000,1,1,1,1,1,1,1,0,0,0,0,0
Saada,-8.155830,31.625830,420.000000,1,1,1,1,1,1,1,0,0,0,0,0
Pune,73.805491,18.537255,559.000000,1,1,1,0,0,0,0,0,0,0,0,0
Santa_Cruz_Tenerife,-16.247361,28.472528,52.000000,1,1,1,1,1,1,1,0,0,0,0,0
Cape_San_Juan,-65.619900,18.384500,15.000000,1,0,0,1,1,1,1,0,0,0,0,0
Karlsruhe,8.427900,49.093300,140.000000,0,0,1,1,1,1,1,0,0,0,0,0
Gustav_Dalen_Tower,17.466830,58.594170,25.000000,0,0,0,1,1,1,1,0,0,0,0,0
Hornsund,15.560278,77.001111,10.000000,0,0,0,0,0,1,1,0,0,0,0,0
COVE_SEAPRISM,-75.710000,36.900000,24.000000,1,0,0,0,0,0,0,0,0,0,0,0
Fort_McMurray,-111.476139,56.752306,360.000000,1,1,1,1,1,1,1,0,0,0,0,0
OHP_OBSERVATOIRE,5.710000,43.935000,680.000000,1,1,1,1,1,1,1,0,0,0,0,0
Birdsville,139.345960,-25.898930,46.500000,1,1,1,1,1,1,0,0,0,0,0,0
Taihu,120.215333,31.421000,20.000000,1,1,1,1,1,1,0,0,0,0,0,0
Red_Mountain_Pass,-107.725000,37.908333,3368.000000,1,1,1,1,1,1,0,0,0,0,0,0
Chilbolton,-1.436980,51.144460,88.000000,1,1,1,1,1,1,1,0,0,0,0,0
Hefei,117.162222,31.904722,36.000000,0,0,0,1,1,0,0,0,0,0,0,0
Trelew,-65.308611,-43.249806,15.000000,1,1,1,1,1,1,1,0,0,0,0,0
CEILAP-RG,-69.320000,-51.600000,15.000000,1,1,1,0,1,1,1,0,0,0,0,0
Hong_Kong_PolyU,114.179722,22.303333,30.000000,0,0,0,0,1,1,1,0,0,0,0,0
ICIPE-Mbita,34.200000,-0.416700,1125.000000,1,1,0,1,1,1,1,0,0,0,0,0
Ji_Parana_SE,-61.851517,-10.934250,218.000000,1,1,1,1,1,1,1,0,0,0,0,0
La_Paz,-68.066467,-16.539000,3439.000000,1,1,1,1,1,1,1,0,0,0,0,0
Tamanrasset_INM,5.530000,22.790000,1377.000000,1,1,1,1,1,1,1,0,0,0,0,0
Tudor_Hill,-64.879000,32.264000,51.000000,0,0,0,1,1,1,1,0,0,0,0,0
Lulin,120.873611,23.468611,2868.000000,1,1,1,1,1,1,1,0,0,0,0,0
Gandhi_College,84.127944,25.871000,60.000000,1,1,1,1,1,1,0,0,0,0,0,0
Helsinki_Lighthouse,24.926360,59.948970,20.000000,0,0,0,0,1,1,1,0,0,0,0,0
Chapais,-74.975400,49.822433,373.440000,1,1,1,1,1,1,1,0,0,0,0,0
EPA-NCU,121.185483,24.967533,144.000000,1,1,1,1,1,1,1,0,0,0,0,0
Brussels,4.350000,50.783332,120.000000,0,1,1,1,1,1,1,0,0,0,0,0
Zvenigorod,36.775000,55.695000,200.000000,0,0,1,1,1,1,1,0,0,0,0,0
NAM_CO,90.962450,30.772517,4740.000000,1,0,0,1,1,0,0,0,0,0,0,0
Univ_of_Houston,-95.341600,29.717700,65.000000,1,1,1,1,1,1,1,0,0,0,0,0
Karachi,67.030000,24.870000,49.000000,1,1,1,1,1,1,1,0,0,0,0,0
Thompson_Farm,-70.948344,43.108772,26.000000,1,1,1,1,1,1,1,0,0,0,0,0
Singapore,103.780383,1.297667,30.000000,1,1,1,1,1,1,1,0,0,0,0,0
White_Sands_HELSTF,-106.338072,32.634942,1207.240000,1,1,1,1,1,1,1,0,0,0,0,0
Lahore,74.324753,31.542494,270.000000,1,1,1,1,1,1,1,0,0,0,0,0
Sodankyla,26.629570,67.366620,184.000000,0,0,0,1,1,1,1,0,0,0,0,0
Eilat,34.917500,29.502500,15.000000,1,1,1,0,0,0,0,0,0,0,0,0
PEARL,-86.416944,80.053611,615.000000,0,0,0,1,1,0,1,0,0,0,0,0
OPAL,-85.939167,79.990278,0.000000,0,0,1,1,1,1,1,0,0,0,0,0
NASA_Ames,-122.056969,37.419986,10.000000,1,1,0,1,1,1,1,0,0,0,0,0
Burjassot,-0.418000,39.508000,30.000000,1,1,1,1,1,1,1,0,0,0,0,0
La_Laguna,-16.321111,28.481944,568.000000,1,1,1,1,1,1,1,0,0,0,0,0
Bucharest_Inoe,26.029722,44.348056,93.000000,1,1,1,1,1,0,0,0,0,0,0,0
Silpakorn_Univ,100.041183,13.819308,72.000000,1,1,1,1,1,1,1,0,0,0,0,0
Chiang_Mai_Met_Sta,98.972467,18.771125,312.000000,1,1,1,1,1,1,1,0,0,0,0,0
Songkhla_Met_Sta,100.604583,7.184387,15.000000,0,0,1,1,0,1,1,0,0,0,0,0
Gual_Pahari,77.150000,28.426390,384.000000,0,0,0,1,1,1,0,0,0,0,0,0
Ragged_Point,-59.432035,13.165018,40.000000,1,1,1,1,1,1,1,0,0,0,0,0
Issyk-Kul,76.983056,42.622778,1650.000000,1,1,0,0,0,0,0,0,0,0,0,0
CRPSM_Malindi,40.194500,-2.996000,12.000000,0,0,0,0,0,1,0,0,0,0,0,0
South_Pole_Obs_NOAA,70.300000,-89.996430,2850.000000,1,0,0,0,0,0,0,0,0,0,0,0
Iqaluit,-68.542997,63.747575,15.000000,0,0,0,1,1,1,1,0,0,0,0,0
Kangerlussuaq,-50.621400,66.995800,320.000000,0,0,0,1,1,1,1,0,0,0,0,0
UAHuntsville,-86.644730,34.725330,223.000000,1,1,1,1,1,1,0,0,0,0,0,0
Bozeman,-111.045013,45.662204,1507.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kanzelhohe_Obs,13.907000,46.678000,1526.000000,1,1,1,1,1,0,0,0,0,0,0,0
Ersa,9.359289,43.003669,80.000000,1,1,1,1,1,1,0,0,0,0,0,0
Helsinki,24.960650,60.203733,52.800000,1,1,1,1,1,1,1,0,0,0,0,0
Camaguey,-77.849900,21.422300,122.000000,1,1,1,1,1,1,1,0,0,0,0,0
El_Segundo,-118.382300,33.912500,25.000000,1,1,1,1,1,1,1,0,0,0,0,0
Dayton,-84.109618,39.775977,243.000000,1,1,1,1,1,1,1,0,0,0,0,0
Arcachon,-1.163222,44.663528,11.000000,1,1,1,1,1,1,1,0,0,0,0,0
Vechernaya_Hill,46.158000,-67.660000,80.000000,1,0,0,0,0,0,0,0,0,0,0,0
Manila_Observatory,121.077840,14.635250,63.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ubon_Ratchathani,104.871011,15.245518,120.000000,1,1,1,1,1,1,1,0,0,0,0,0
Malaga,-4.477500,36.715000,40.000000,0,1,1,1,1,1,1,0,0,0,0,0
Jaipur,75.806217,26.905817,450.000000,1,1,1,0,1,1,1,0,0,0,0,0
Yellowknife_Aurora,-114.376250,62.451300,220.800000,1,1,1,1,1,1,1,0,0,0,0,0
Birkenes,8.252310,58.388450,230.000000,1,1,1,1,0,0,0,0,0,0,0,0
Bandung,107.610000,-6.888417,826.000000,1,1,1,1,1,1,0,0,0,0,0,0
Zinder_Airport,8.990233,13.776683,456.000000,0,0,1,1,1,1,1,0,0,0,0,0
LISCO,-73.341767,40.954517,12.000000,1,1,1,1,1,1,1,0,0,0,0,0
UMBC,-76.709353,39.254628,79.000000,1,1,1,0,1,1,1,0,0,0,0,0
SAGRES,-8.873517,37.047706,26.000000,1,0,0,0,0,0,1,0,0,0,0,0
Univ_of_Lethbridge,-112.868967,49.681672,737.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kelowna_UAS,-119.400111,49.941294,456.000000,1,1,1,1,1,1,1,0,0,0,0,0
Eforie,28.632222,44.075000,40.000000,1,1,1,0,1,1,1,0,0,0,0,0
IASBS,48.507111,36.705167,1805.000000,1,1,1,1,1,1,1,0,0,0,0,0
QOMS_CAS,86.948056,28.365000,4276.000000,0,0,0,1,1,1,1,0,0,0,0,0
Lucinda,146.386100,-18.519800,8.000000,1,1,1,1,1,1,0,0,0,0,0,0
ND_Marbel_Univ,124.842531,6.496011,70.000000,1,1,1,1,1,1,1,0,0,0,0,0
WaveCIS_Site_CSI_6,-90.483333,28.866667,32.660000,1,1,1,1,1,1,1,0,0,0,0,0
Goldstone,-116.791667,35.233333,1100.000000,1,1,1,1,1,1,1,0,0,0,0,0
Pokhara,83.971467,28.150817,807.000000,1,1,1,1,1,1,0,0,0,0,0,0
Baengnyeong,124.630278,37.966111,136.000000,1,1,1,1,1,1,1,0,0,0,0,0
Huelva,-6.568700,37.016300,25.000000,0,1,1,1,1,0,0,0,0,0,0,0
CalTech,-118.126167,34.136730,260.000000,1,1,1,1,1,1,1,0,0,0,0,0
Yuma,-114.582780,32.644138,63.000000,0,0,1,1,1,1,1,0,0,0,0,0
CUT-TEPAK,33.042750,34.674806,22.000000,1,1,1,1,1,1,1,0,0,0,0,0
Dushanbe,68.857911,38.553264,821.000000,1,1,1,1,1,1,1,0,0,0,0,0
Appalachian_State,-81.693800,36.214600,1080.000000,1,1,1,1,1,1,1,0,0,0,0,0
Aubiere_LAMP,3.111072,45.760960,423.000000,1,1,1,1,1,1,1,0,0,0,0,0
Frioul,5.293333,43.266111,40.000000,1,1,1,1,1,1,1,0,0,0,0,0
CLUJ_UBB,23.551389,46.768333,405.000000,1,1,1,1,1,1,0,0,0,0,0,0
Gloria,29.359670,44.599970,30.000000,1,1,1,1,1,1,1,0,0,0,0,0
Bari_University,16.883983,41.108327,12.000000,1,1,0,0,0,0,0,0,0,0,0,0
Oujda,-1.898500,34.653167,620.000000,1,1,1,1,1,0,0,0,0,0,0,0
NGHIA_DO,105.799640,21.047780,40.000000,1,1,1,1,1,1,1,0,0,0,0,0
Manaus_EMBRAPA,-59.969778,-2.890528,115.000000,1,1,1,1,1,1,1,0,0,0,0,0
USC_SEAPRISM,-118.117820,33.563710,31.000000,1,1,0,0,0,1,1,0,0,0,0,0
Tabernas_PSA-DLR,-2.358180,37.090760,500.000000,1,1,1,1,0,1,1,0,0,0,0,0
Yonsei_University,126.934867,37.564370,88.000000,1,1,1,1,1,1,1,0,0,0,0,0
Georgia_Tech,-84.399537,33.780202,294.000000,1,1,1,1,1,1,1,0,0,0,0,0
Pretoria_CSIR-DPSS,28.279722,-25.756611,1449.000000,1,1,1,1,1,1,1,0,0,0,0,0
Tomsk_22,84.074000,56.417000,80.000000,0,0,0,1,1,1,1,0,0,0,0,0
Montsec,0.729689,42.051417,1574.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kuching,110.348611,1.490556,28.000000,0,0,0,0,0,1,1,0,0,0,0,0
Key_Biscayne2,-80.163330,25.731966,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
Palma_de_Mallorca,2.625100,39.553300,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Masdar_Institute,54.616600,24.441600,4.000000,1,1,1,1,1,1,0,0,0,0,0,0
Magurele_Inoe,26.030703,44.348292,90.000000,1,1,1,1,1,1,1,0,0,0,0,0
Grand_Forks,-97.325450,47.911750,268.000000,0,0,0,0,1,1,1,0,0,0,0,0
UNC-Bogota,-74.080800,4.636933,2594.000000,0,0,1,0,0,0,0,0,0,0,0,0
USM_Penang,100.302310,5.358380,51.000000,1,1,1,1,1,1,1,0,0,0,0,0
Henties_Bay,14.259740,-22.095060,20.000000,1,1,1,1,1,1,1,0,0,0,0,0
Chiba_University,140.103800,35.624700,60.000000,1,1,1,1,1,1,1,0,0,0,0,0
Calhau,-24.867222,16.863889,40.000000,1,1,1,1,1,1,1,0,0,0,0,0
Sandia_NM_PSEL,-106.540069,35.054583,1662.500000,1,0,1,1,1,1,1,0,0,0,0,0
Fresno_2,-119.773020,36.785370,100.000000,1,1,1,1,1,1,1,0,0,0,0,0
Bure_OPE,5.505000,48.562500,393.000000,1,1,1,1,1,1,1,0,0,0,0,0
DRAGON_Mokpo_NU,126.437360,34.913420,26.000000,0,0,1,0,0,0,0,0,0,0,0,0
Univ_of_Nevada-Reno,-119.814033,39.540867,1410.000000,1,1,1,1,1,1,1,0,0,0,0,0
Coruna,-8.420800,43.363000,67.000000,1,1,1,1,1,1,1,0,0,0,0,0
CEILAP-Bariloche,-71.163333,-41.146944,840.000000,1,1,1,1,1,1,1,0,0,0,0,0
Hong_Kong_Sheung,114.116600,22.483300,40.000000,1,1,1,1,1,1,0,0,0,0,0,0
UPRM_Lidar_Lab,-67.140125,18.210131,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Cairo_EMA_2,31.290067,30.080767,70.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ouarzazate,-6.912867,30.928367,1136.000000,1,1,1,1,1,1,1,0,0,0,0,0
NEON_CVALLA,-105.167250,40.160630,1539.000000,1,1,1,1,1,1,1,0,0,0,0,0
Luang_Namtha,101.416200,20.931100,557.000000,1,1,1,1,1,1,1,0,0,0,0,0
KAUST_Campus,39.102833,22.304833,11.200000,1,1,1,1,1,1,1,0,0,0,0,0
Son_La,103.905340,21.332130,683.000000,1,1,1,1,1,1,0,0,0,0,0,0
GOT_Seaprism,101.412300,9.286200,10.000000,1,1,0,0,0,0,0,0,0,0,0,0
DRAGON_NIER,126.639710,37.568930,26.900000,0,1,1,0,0,0,0,0,0,0,0,0
Madrid,-3.723950,40.451900,680.000000,1,1,1,1,1,1,1,0,0,0,0,0
Bayfordbury,-0.096240,51.776320,75.000000,1,1,1,1,1,1,1,0,0,0,0,0
Tizi_Ouzou,4.055833,36.698611,133.000000,1,1,1,1,1,1,1,0,0,0,0,0
Iasi_LOASL,27.555556,47.193056,175.000000,1,1,1,1,1,1,1,0,0,0,0,0
U_of_Wisconsin_SSEC,-89.411354,43.072492,330.000000,1,1,1,1,1,1,1,0,0,0,0,0
Bhola,90.750000,22.166667,3.000000,1,1,1,1,1,1,1,0,0,0,0,0
Jambi,103.641563,-1.632445,30.000000,1,1,1,1,1,1,1,0,0,0,0,0
Pontianak,109.190860,0.075380,2.000000,1,1,1,1,1,1,1,0,0,0,0,0
Zaragoza,-0.882350,41.633400,250.000000,1,1,1,1,1,1,1,0,0,0,0,0
Gorongosa,34.350750,-18.978417,30.000000,0,0,1,0,0,0,0,0,0,0,0,0
Dhaka_University,90.398190,23.728390,34.000000,1,1,1,1,1,1,1,0,0,0,0,0
Lake_Lefroy,121.705000,-31.255000,300.000000,1,1,1,1,1,1,0,0,0,0,0,0
FZJ-JOYCE,6.412500,50.908333,108.000000,0,1,1,1,1,1,1,0,0,0,0,0
Badajoz,-7.010820,38.882808,186.000000,1,1,1,1,1,1,0,0,0,0,0,0
Gangneung_WNU,128.867000,37.771000,60.000000,1,1,1,1,1,1,1,0,0,0,0,0
Hankuk_UFS,127.265820,37.338830,167.000000,1,1,1,1,1,1,1,0,0,0,0,0
