iCALIB,78.43020,-106.29800,sk
ICEX,79.89200,-173.71800,sk
AXIB,85.50240,-94.77020,sk
iSVP-B,71.26620,-104.40780,sk
iSVP-B,70.26020,-101.55460,sk
AXIB,78.25860,-125.96700,sk
AXIB,70.26160,-127.93540,sk
AXIB,73.17280,-80.40100,sk
BD2GI,41.86100,-164.86600,sk
SVP,73.48660,-88.47280,sk
SVP,56.33980,-29.95680,sk
SVPGHI,65.46100,-52.85400,sk
SVPGHI,63.75000,-20.61400,sk
SVPGHI,63.79000,8.51500,sk
SVPGHI,63.65600,-18.00900,sk
SVPGHI,68.61900,-52.43700,sk
SVPGHI,78.60000,7.04700,sk
BD2GI,36.75100,-136.38800,sk
BD2GI,56.58700,163.25400,sk
BD2GHI,69.38700,34.11700,sk
BD2GI,50.23500,-39.57600,sk
BD2GI,71.91600,36.88400,sk
BD2GI,66.66900,13.20300,sk
BD2GI,66.84900,-53.63100,sk
BD2GI,66.69400,-9.72300,sk
BD2GI,26.36400,-36.36800,sk
BD2GI,68.41900,4.04800,sk
SVP,75.23960,-127.75380,sk
SVP,70.90400,-60.47900,sk
SVP,74.62900,-126.23920,sk
SVP,80.44620,-103.29600,sk
IceBall,76.33020,-123.71840,sk
SVP,74.80320,-126.86840,sk
IceBall,69.61160,-139.99420,sk
BD2GI,31.14500,-14.19400,sk
Ice Ball,83.46970,-56.12693,sk
Ice Ball,78.42557,-131.37010,sk
SVP3GI,47.44800,-130.57100,sk
Gy,67.52600,12.10800,sk
BD2GI,66.77600,8.02100,sk
Gy,47.02500,-12.13600,sk
BD2GI,57.79000,-50.51400,sk
BD2GI,62.00600,-4.04600,sk
BD2GI,70.47100,10.22200,sk
Gy,38.48400,-18.50100,sk
Gy,29.44200,-57.91800,sk
BD2GI,58.38400,-50.07000,sk
BD2GI,68.96800,15.86200,sk
BD2GI,74.42000,13.05000,sk
BD2GI,70.62100,0.94100,sk
BD2GHI,48.97200,-18.23600,sk
UIT,68.68843,37.66634,sk
SVPGHI,29.93100,-20.23400,sk
SVPGHI,61.51300,-25.15800,sk
SVPGHI,57.28900,-31.44600,sk
SVPGHI,48.84100,-5.82600,sk
SVPGHI,47.61000,-43.12900,sk
SVPGHI,40.18700,-17.02800,sk
SVPGHI,63.60100,8.35000,sk
SVPGHI,119.71500,239.43000,sk
SVPGHI,54.29500,-38.05700,sk
SVPGHI,58.11600,-31.99700,sk
BD2GHI,47.42900,-33.48000,sk
SVPGHI,119.71500,239.43000,sk
SVPGHI,58.26800,-15.91000,sk
SVPGHI,60.38200,-13.82600,sk
BD2GHI,52.50900,-24.98300,sk
BD2GHI,56.65900,-24.34700,sk
BD2GHI,65.64400,-14.21100,sk
BD2GHI,70.14700,18.77900,sk
BD2GHI,63.83400,-21.01600,sk
BD2GHI,63.55600,-20.24000,sk
BD2GHI,70.99000,28.51400,sk
BD2GI,49.09100,154.58700,sk
BD2GI,50.48600,164.64700,sk
SVP-B,78.30600,-7.27500,sk
SVPGHI,63.79300,-16.72800,sk
SVPGHI,70.37300,31.10400,sk
SVP,84.29520,-62.19480,sk
SVP-BA,81.72820,-102.64320,sk
BD2GI,51.19800,159.16800,sk
SVP-BA,83.86440,-29.57140,sk
SVP-BA,83.47800,-72.45680,sk
SVP-BA,68.46580,-57.05960,sk
BD2GI,51.49700,-135.79900,sk
SIMB3,79.06390,-121.62647,sk
SIMB3,77.03822,-148.58352,sk
SIMB3,77.28547,-133.29430,sk
IceCadet,71.32299,-156.61447,sk
Ice_Cadet,72.06224,-156.53757,sk
Ice_Cadet,75.10517,-160.48241,sk
Ice_Cadet,74.00527,-166.91519,sk
Ice_Cadet,74.03883,-166.44417,sk
Ice_Cadet,74.51188,-166.65488,sk
SVP,62.19900,-6.55500,sk
